# IKS01A3 
 
time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
150426000,519,-722,818,-41832,-4916,-77053
150445000,628,-373,868,-52839,2854,-85694
150464000,663,-382,960,-66610,-9877,-42122
150483000,574,-572,1012,-81709,-20870,1511
150502000,358,-489,924,-97450,-23770,38885
150521000,480,-324,874,-102549,-33633,58824
150540000,619,-502,761,-108076,-37557,62580
150559000,670,-488,681,-101832,-30061,55221
150578000,567,-474,649,-99175,-22335,42946
150597000,536,-467,565,-93832,-10534,28824
150616000,625,-533,599,-88366,-7587,519
150635000,695,-591,650,-83770,-7053,-20595
150654000,698,-565,606,-79740,-8824,-30625
150673000,626,-510,534,-74656,-8274,-27618
150692000,658,-488,489,-70335,-7984,-23679
150711000,660,-493,444,-63526,-9954,-26809
150730000,712,-515,428,-55083,-13282,-39328
150749000,653,-528,375,-46183,-14946,-51282
150768000,625,-465,352,-36946,-12885,-52381
150787000,594,-460,268,-28870,-11725,-56977
150806000,655,-433,238,-19862,-9145,-66183
150825000,588,-328,182,-5572,-8763,-70152
150844000,480,-243,86,16671,-6412,-74412
150863000,419,-89,11,49832,9893,-97893
150882000,395,252,-14,92381,29603,-105877
150901000,459,502,31,145114,47511,-66396
150920000,420,236,466,183206,69190,18870
150939000,703,51,929,228503,73297,152778
150958000,472,-375,1494,236030,53343,335175
150977000,164,-905,2072,174885,15236,374045
150996000,561,-2299,2194,40488,-43801,178183
151015000,922,-2795,1004,-85221,-39877,-57541
151034001,786,-589,828,-107969,778,-168778
151053000,641,745,379,-75068,4961,-136687
151072000,575,322,85,-34641,9435,11114
151091000,774,-457,418,11618,-5496,70167
151110000,355,-316,373,45984,6061,82580
151129000,518,-577,842,18625,-26030,82351
151148000,667,-1086,1022,-15984,-37694,64366
151167000,580,-1112,845,-50992,-25511,12000
151186000,528,-682,587,-52916,-1801,-47801
151205000,485,-592,625,-53954,11603,-47816
151224000,453,-712,701,-56290,15221,-23251
151243000,186,-712,720,-63221,24427,-9312
